Number	Bin	Hex
-39	011001	D9
-36	011100	DC
8	1000	8
34	100010	22
17	10001	11
49	110001	31
5	101	5
39	100111	27
0	0	0
33	100001	21
12	1100	C
-6	010	A
27	11011	1B
-4	100	C
-38	011010	DA
26	11010	1A
49	110001	31
29	11101	1D
42	101010	2A
-16	10000	F0
-28	00100	E4
34	100010	22
20	10100	14
0	0	0
25	11001	19
45	101101	2D
3	11	3
-46	010010	D2
-46	010010	D2
29	11101	1D
33	100001	21
29	11101	1D
26	11010	1A
-5	011	B
-36	011100	DC
12	1100	C
45	101101	2D
-50	001110	CE
0	0	0
-6	010	A
-39	011001	D9
35	100011	23
26	11010	1A
-35	011101	DD
-42	010110	D6
14	1110	E
-3	01	D
22	10110	16
-47	010001	D1
12	1100	C
-17	01111	EF
-31	00001	E1
-25	00111	E7
-35	011101	DD
-18	01110	EE
14	1110	E
37	100101	25
-8	1000	8
-41	010111	D7
-50	001110	CE
-9	0111	7
2	10	2
12	1100	C
-39	011001	D9
-17	01111	EF
0	0	0
27	11011	1B
28	11100	1C
45	101101	2D
-44	010100	D4
28	11100	1C
35	100011	23
-33	011111	DF
43	101011	2B
-4	100	C
23	10111	17
-49	001111	CF
49	110001	31
-7	001	9
-38	011010	DA
-45	010011	D3
5	101	5
-21	01011	EB
26	11010	1A
-2	10	E
-24	01000	E8
6	110	6
-45	010011	D3
-4	100	C
15	1111	F
0	0	0
-17	01111	EF
-35	011101	DD
43	101011	2B
45	101101	2D
-35	011101	DD
-8	1000	8
28	11100	1C
47	101111	2F
34	100010	22
-24	01000	E8
-42	010110	D6
-13	0011	3
14	1110	E
-45	010011	D3
-35	011101	DD
27	11011	1B
-12	0100	4
-19	01101	ED
-20	01100	EC
-14	0010	2
20	10100	14
30	11110	1E
12	1100	C
-36	011100	DC
-47	010001	D1
-27	00101	E5
-3	01	D
6	110	6
36	100100	24
9	1001	9
-16	10000	F0
36	100100	24
-27	00101	E5
7	111	7
-6	010	A
-5	011	B
5	101	5
47	101111	2F
23	10111	17
-48	010000	D0
-24	01000	E8
40	101000	28
-4	100	C
-18	01110	EE
-19	01101	ED
14	1110	E
15	1111	F
1	1	1
24	11000	18
-9	0111	7
-50	001110	CE
18	10010	12
15	1111	F
30	11110	1E
44	101100	2C
9	1001	9
19	10011	13
33	100001	21
41	101001	29
-24	01000	E8
43	101011	2B
48	110000	30
-23	01001	E9
7	111	7
28	11100	1C
8	1000	8
-2	10	E
37	100101	25
42	101010	2A
-17	01111	EF
-6	010	A
36	100100	24
22	10110	16
27	11011	1B
31	11111	1F
-47	010001	D1
-43	010101	D5
0	0	0
27	11011	1B
30	11110	1E
12	1100	C
-15	0001	1
-19	01101	ED
-42	010110	D6
-37	011011	DB
31	11111	1F
-10	0110	6
18	10010	12
33	100001	21
-15	0001	1
17	10001	11
25	11001	19
-25	00111	E7
-5	011	B
33	100001	21
-13	0011	3
33	100001	21
-10	0110	6
47	101111	2F
47	101111	2F
-13	0011	3
-32	100000	E0
1	1	1
1	1	1
-25	00111	E7
-33	011111	DF
16	10000	10
17	10001	11
4	100	4

